,کهریزک,حرم مطهر امام خمینی,شاهد-باقرشهر,پالایشگاه,شهرري,جوانمرد قصاب,علي آباد,شهید بخارایی,پایانه جنوب,شوش,میدان محمدیه,خيام,پانزده خرداد,امام خميني,سعدي,دروازه دولت,طالقاني,شهدای هفتم تير,شهيد مفتح,شهيد بهشتي,مصلي امام خمینی,شهید همت,شهید حقانی,ميرداماد,دکتر شريعتي,قلهك,شهيد صدر,قیطریه,تجریش,صادقیه,طرشت,دانشگاه شريف,شادمان,شهید نواب صفوي,ميدان حر,دانشگاه امام علي,حسن آباد,ملت,بهارستان,دروازه شمیران,امام حسين,شهيد مدني,سبلان,فدك,جانبازان,سرسبز,دانشگاه علم و صنعت,شهید باقري,تهرانپارس,فرهنگسرا,آزادگان,نعمت آباد,عبدل آباد,شهرک شریعتی,زمزم,جوادیه,راه آهن,مهدیه,منیریه,تئاتر شهر,میدان ولیعصر,میدان جهاد,میرزای شیرازی,سهروردی,شهید قدوسی,شهید صیاد شیرازی,خواجه عبدالله انصاری,شهید زین الدین,هروی,حسین آباد,نوبنیاد,اقدسیه,شهید محلاتی,قائم,ارم سبز,شهرک اکباتان,بیمه,ميدان آزادي,استاد معین,دكتر حبيب اله,توحيد,ميدان انقلاب اسلامی,فردوسی,میدان شهدا,ابن سینا,پیروزی,نبرد,نیروی هوایی,شهید کلاهدوز,گلشهر,محمد شهر,کرج,البرز,گرم دره,وردآورد,ايران خودرو,چيتگر,ورزشگاه آزادی,حرم عبالعظیم,میدان حرم عبدالعظیم,ابن بابویه,چشمه علی,دولت آباد,کیانشهر,بعثت,شهید رضایی,میدان خراسان,هفده شهریور,امیرکبیر,سرباز,بهار شیراز,استاد نجات الهی,پارک لاله,کارگر,تربیت مدرس,شهرک آزمایش,مرزداران,یادگار امام,اشرفی اصفهانی,شهید ستاری,دویست دستگاه,میدان کانون,شهران,آبشناسان,شهدای کن,ورزشگاه تختی,بسیج,آهنگ,میدان شهید محلاتی,میدان قیام,مولوی,هلال احمر,بریانک,کمیل,رودکی,باقرخان,بوستان گفتگو,برج میلاد تهران,میدان صنعت,شهید دادمان,میدان کتاب
پانزده خرداد,,,,,,,,,,,,522.749391720701,,834.6226720622731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
امام خميني,,,,,,,,,,,,,834.6226720622731,,1050.3265184524887,,,,,,,,,,,,,,,,,,,,,,858.3343590884588,705.7093271448488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سعدي,,,,,,,,,,,,,,1050.3265184524887,,877.5293091225209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
دروازه دولت,,,,,,,,,,,,,,,877.5293091225209,,630.885980136614,,,,,,,,,,,,,,,,,,,,,,,1077.2910526704336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.7513685904553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
طالقاني,,,,,,,,,,,,,,,,630.885980136614,,929.706716756994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شهدای هفتم تير,,,,,,,,,,,,,,,,,929.706716756994,,933.1516056655435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.7701364070772,980.5382851535276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شهيد مفتح,,,,,,,,,,,,,,,,,,933.1516056655435,,715.9345825024242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شهيد بهشتي,,,,,,,,,,,,,,,,,,,715.9345825024242,,1012.9584968013743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964.1086506398731,775.9104347413133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مصلي امام خمینی,,,,,,,,,,,,,,,,,,,,1012.9584968013743,,900.3835614276537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شهید همت,,,,,,,,,,,,,,,,,,,,,900.3835614276537,,945.3368785835786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شهید حقانی,,,,,,,,,,,,,,,,,,,,,,945.3368785835786,,852.1725117094921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
